LineNumber Seconds Frequency,Hz
7905 4263,549 106,79433
7906 4264,082 106,79433
7907 4264,613 106,79433
7908 4265,149 106,79434
7909 4265,690 106,79434
7910 4266,219 106,79433
7911 4266,751 106,79433
7912 4267,282 106,79433
7913 4267,815 106,79433
7914 4268,351 106,79434
7915 4268,897 106,79434
7916 4269,444 106,79434
7917 4269,988 106,79434
7918 4270,517 106,78293
7919 4271,046 106,47929
7920 4271,590 106,47919
7921 4272,126 106,47906
7922 4272,659 106,47900
7923 4273,193 106,47894
7924 4273,745 106,47888
7925 4274,291 106,47841
7926 4274,829 106,47841
7927 4275,360 106,47839
7928 4275,896 106,47841
7929 4276,447 106,47839
7930 4276,985 106,47837
7931 4277,529 106,47839
7932 4278,066 106,47838
7933 4278,600 106,47839
7934 4279,143 106,47837
7935 4279,682 106,47839
7936 4280,232 106,47842
7937 4280,769 106,47842
7938 4281,303 106,47842
7939 4281,843 106,47842
7940 4282,385 106,47842
7941 4282,930 106,47842
7942 4283,472 106,47842
7943 4284,001 106,16448
7944 4284,540 106,16448
7945 4285,092 106,16447
7946 4285,625 106,16447
7947 4286,159 106,16447
7948 4286,691 106,16447
7949 4287,222 106,16447
7950 4287,750 106,16450
7951 4288,281 106,16449
7952 4288,812 106,16447
7953 4289,346 106,16444
7954 4289,879 106,16442
7955 4290,407 106,16442
7956 4290,947 106,16442
7957 4291,484 106,16441
7958 4292,015 106,16442
7959 4292,549 106,16442
7960 4293,083 106,16441
7961 4293,616 106,16442
7962 4294,168 106,16443
7963 4294,716 106,16441
7964 4295,252 106,16439
7965 4295,786 106,16440
7966 4296,313 106,16441
7967 4296,844 106,16441
7968 4297,379 105,85226
7969 4297,917 105,85228
7970 4298,455 105,85227
7971 4298,990 105,85226
7972 4299,520 105,85225
7973 4300,054 105,85225
7974 4300,608 105,85223
7975 4301,144 105,85224
7976 4301,686 105,85224
7977 4302,219 105,85225
7978 4302,760 105,85225
7979 4303,311 105,85225
7980 4303,851 105,85228
7981 4304,397 105,85225
7982 4304,951 105,85224
7983 4305,496 105,85224
7984 4306,031 105,85225
7985 4306,564 105,85224
7986 4307,099 105,85224
7987 4307,632 105,85225
7988 4308,176 105,85226
7989 4308,712 105,85228
7990 4309,257 105,84257
7991 4309,801 105,84096
7992 4310,335 105,54351
7993 4310,886 105,54330
7994 4311,426 105,54314
7995 4311,956 105,54305
7996 4312,496 105,54294
7997 4313,034 105,54288
7998 4313,570 105,54192
7999 4314,109 105,54192
8000 4314,640 105,54194
8001 4315,172 105,54194
8002 4315,702 105,54195
8003 4316,242 105,54196
8004 4316,789 105,54194
8005 4317,334 105,54195
8006 4317,878 105,54195
8007 4318,412 105,54192
8008 4318,937 105,54192
8009 4319,470 105,54192
8010 4320,012 105,54193
8011 4320,546 105,54194
8012 4321,082 105,54195
8013 4321,615 105,54195
8014 4322,148 105,54196
8015 4322,695 105,54195
8016 4323,240 105,23340
8017 4323,773 105,23339
8018 4324,316 105,23340
8019 4324,851 105,23339
8020 4325,405 105,23338
8021 4325,943 105,23339
8022 4326,475 105,23335
8023 4327,021 105,23334
8024 4327,569 105,23335
8025 4328,116 105,23335
8026 4328,656 105,23336
8027 4329,188 105,23337
8028 4329,722 105,23335
8029 4330,259 105,23335
8030 4330,812 105,23336
8031 4331,344 105,23335
8032 4331,888 105,23335
8033 4332,424 105,23335
8034 4332,961 105,23292
8035 4333,508 105,23288
8036 4334,058 105,23284
8037 4334,596 105,23280
8038 4335,129 105,23270
8039 4335,663 105,23264
8040 4336,210 104,93819
8041 4336,750 104,92672
8042 4337,281 104,92671
8043 4337,828 104,92670
8044 4338,366 104,92671
8045 4338,909 104,92670
8046 4339,451 104,92670
8047 4339,985 104,92668
8048 4340,529 104,92670
8049 4341,062 104,92668
8050 4341,604 104,92667
8051 4342,151 104,92669
8052 4342,697 104,92667
8053 4343,239 104,92667
8054 4343,774 104,92668
8055 4344,318 104,92668
8056 4344,858 104,92667
8057 4345,395 104,92667
8058 4345,934 104,92669
8059 4346,468 104,92668
8060 4347,010 104,92669
8061 4347,549 104,92669
8062 4348,079 104,92669
8063 4348,613 104,92669
8064 4349,146 104,62173
8065 4349,678 104,62173
8066 4350,225 104,62173
8067 4350,776 104,62173
8068 4351,315 104,62175
8069 4351,849 104,62175
8070 4352,383 104,62173
8071 4352,932 104,62173
8072 4353,477 104,62171
8073 4354,018 104,62171
8074 4354,546 104,62171
8075 4355,087 104,62171
8076 4355,627 104,62172
8077 4356,155 104,62173
8078 4356,689 104,62173
8079 4357,222 104,62175
8080 4357,752 104,62173
8081 4358,286 104,62173
8082 4358,815 104,62175
8083 4359,343 104,62175
8084 4359,887 104,62176
8085 4360,426 104,62180
8086 4360,955 104,62179
8087 4361,491 104,62180
8088 4362,038 104,31859
8089 4362,589 104,31859
8090 4363,124 104,31859
8091 4363,660 104,31858
8092 4364,189 104,31857
8093 4364,718 104,31857
8094 4365,259 104,31857
8095 4365,799 104,31854
8096 4366,332 104,31854
8097 4366,859 104,31855
8098 4367,399 104,31855
8099 4367,950 104,31854
8100 4368,494 104,31857
8101 4369,035 104,31857
8102 4369,563 104,31855
8103 4370,103 104,31855
8104 4370,653 104,31854
8105 4371,199 104,31854
8106 4371,734 104,31855
8107 4372,268 104,31854
8108 4372,801 104,28907
8109 4373,336 104,27982
8110 4373,874 104,26821
8111 4374,408 104,24953
8112 4374,944 104,22087
8113 4375,488 104,20535
8114 4376,021 104,18325
8115 4376,558 104,15688
8116 4377,105 104,01716
8117 4377,643 104,01716
8118 4378,172 103,36282
8119 4378,704 102,80051
8120 4379,234 102,80050
8121 4379,767 102,80050
8122 4380,296 102,80049
8123 4380,838 102,80048
8124 4381,384 102,80048
8125 4381,928 102,80047
8126 4382,474 102,80047
8127 4383,013 102,80045
8128 4383,553 102,80048
8129 4384,083 102,80048
8130 4384,619 102,80049
8131 4385,169 103,97961
8132 4385,717 103,93932
8133 4386,251 103,91709
8134 4386,788 103,88162
8135 4387,340 103,86710
8136 4387,876 103,84215
8137 4388,406 103,82771
8138 4388,952 103,80185
8139 4389,493 103,79042
8140 4390,045 103,71748
8141 4390,591 103,71748
8142 4391,127 103,71747
8143 4391,662 103,71745
8144 4392,195 103,71745
8145 4392,740 103,71745
8146 4393,278 103,71745
8147 4393,821 103,71742
8148 4394,365 103,71742
8149 4394,896 103,71742
8150 4395,431 103,71742
8151 4395,973 103,71741
8152 4396,501 103,71741
8153 4397,033 103,71743
8154 4397,567 103,71743
8155 4398,102 103,71745
8156 4398,649 103,71746
8157 4399,197 103,71746
8158 4399,738 103,71745
8159 4400,270 103,71746
8160 4400,805 103,71746
8161 4401,353 103,41949
8162 4401,905 103,41949
8163 4402,439 103,41949
8164 4402,974 103,41949
8165 4403,500 103,41949
8166 4404,041 103,41949
8167 4404,577 103,41946
8168 4405,111 103,41946
8169 4405,644 103,41946
8170 4406,179 103,41948
8171 4406,731 103,41946
8172 4407,276 103,41946
8173 4407,812 103,41946
8174 4408,347 103,41946
8175 4408,882 103,41946
8176 4409,434 103,41948
8177 4409,968 103,41946
8178 4410,502 103,41946
8179 4411,033 103,41946
8180 4411,562 103,41946
8181 4412,094 103,41946
8182 4412,630 103,41949
8183 4413,159 103,41950
8184 4413,691 103,41953
8185 4414,221 103,12328
8186 4414,750 103,12328
8187 4415,281 103,12328
8188 4415,818 103,12328
8189 4416,361 103,12328
8190 4416,891 103,12328
8191 4417,424 103,12328
8192 4417,958 103,12325
8193 4418,507 103,12328
8194 4419,053 103,12328
8195 4419,593 103,12328
8196 4420,129 103,12327
8197 4420,662 103,12325
8198 4421,210 103,12325
8199 4421,757 103,12325
8200 4422,297 103,12325
8201 4422,830 103,12325
8202 4423,363 103,12323
8203 4423,898 103,12324
8204 4424,441 103,12325
8205 4424,979 103,12324
8206 4425,529 103,12324
8207 4426,068 103,12324
8208 4426,600 103,12324
8209 4427,141 103,12325
8210 4427,675 102,82864
8211 4428,203 102,82864
8212 4428,738 102,82864
8213 4429,272 102,82864
8214 4429,821 102,82864
8215 4430,363 102,82864
8216 4430,894 102,82864
8217 4431,424 102,82864
8218 4431,965 102,82864
8219 4432,502 102,82864
8220 4433,037 102,82867
8221 4433,580 102,82870
8222 4434,111 102,82870
8223 4434,644 102,82870
8224 4435,177 102,82869
8225 4435,707 102,82870
8226 4436,240 102,82873
8227 4436,772 102,82873
8228 4437,313 102,82605
8229 4437,848 102,82584
8230 4438,374 102,82559
8231 4438,915 102,82520
8232 4439,457 102,82481
8233 4439,984 102,82417
8234 4440,517 102,54311
8235 4441,049 102,54210
8236 4441,577 102,54150
8237 4442,116 102,54102
8238 4442,671 102,53580
8239 4443,207 102,53580
8240 4443,738 102,53578
8241 4444,265 102,53577
8242 4444,811 102,53578
8243 4445,347 102,53578
8244 4445,885 102,53578
8245 4446,424 102,53577
8246 4446,958 102,53577
8247 4447,484 102,53577
8248 4448,018 102,53577
8249 4448,552 102,53577
8250 4449,091 102,53577
8251 4449,626 102,53577
8252 4450,160 102,53578
8253 4450,695 102,53580
8254 4451,242 102,53580
8255 4451,795 102,53580
8256 4452,328 102,53581
8257 4452,864 102,53580
8258 4453,393 102,24459
8259 4453,929 102,24459
8260 4454,468 102,24458
8261 4455,001 102,24459
8262 4455,534 102,24458
8263 4456,066 102,24458
8264 4456,597 102,24458
8265 4457,125 102,24456
8266 4457,668 102,24455
8267 4458,204 102,24457
8268 4458,739 102,24456
8269 4459,273 102,24456
8270 4459,817 102,24455
8271 4460,348 102,24454
8272 4460,875 102,24456
8273 4461,406 102,24457
8274 4461,941 102,24457
8275 4462,475 102,24457
8276 4463,018 102,24457
8277 4463,551 102,24458
8278 4464,078 102,24459
8279 4464,609 102,24461
8280 4465,145 102,24459
8281 4465,677 102,24461
8282 4466,218 101,95506
8283 4466,753 101,95505
8284 4467,281 101,95505
8285 4467,817 101,95506
8286 4468,347 101,95507
8287 4468,876 101,95507
8288 4469,413 101,95506
8289 4469,953 101,95508
8290 4470,484 101,95504
8291 4471,020 101,95503
8292 4471,552 101,95503
8293 4472,096 101,95503
8294 4472,631 101,95503
8295 4473,170 101,95502
8296 4473,712 101,95500
8297 4474,251 101,95502
8298 4474,788 101,95502
8299 4475,329 101,95500
8300 4475,859 101,95502
8301 4476,392 101,95502
8302 4476,922 101,95502
8303 4477,460 101,95500
8304 4478,000 101,95502
8305 4478,546 101,95500
8306 4479,092 101,95499
8307 4479,628 101,66708
8308 4480,162 101,66708
8309 4480,691 101,66708
8310 4481,220 101,66708
8311 4481,764 101,66708
8312 4482,296 101,66708
8313 4482,833 101,66708
8314 4483,367 101,66707
8315 4483,913 101,66707
8316 4484,458 101,66706
8317 4484,993 101,66706
8318 4485,536 101,66707
8319 4486,062 101,66708
8320 4486,599 101,66708
8321 4487,126 101,66710
8322 4487,664 101,66709
8323 4488,206 101,66708
8324 4488,740 101,66710
8325 4489,292 101,66667
8326 4489,831 101,66663
8327 4490,359 101,66661
8328 4490,902 101,66653
8329 4491,443 101,66647
8330 4491,998 101,66640
8331 4492,535 101,39149
8332 4493,073 101,38077
8333 4493,612 101,38077
8334 4494,146 101,38077
8335 4494,680 101,38077
8336 4495,223 101,38077
8337 4495,763 101,38076
8338 4496,297 101,38076
8339 4496,839 101,38076
8340 4497,375 101,38076
8341 4497,908 101,38076
8342 4498,443 101,38076
8343 4498,968 101,38076
8344 4499,509 101,38077
8345 4500,051 101,38076
8346 4500,586 101,38077
8347 4501,129 101,38076
8348 4501,686 101,38076
8349 4502,222 101,38078
8350 4502,756 101,38078
8351 4503,305 101,38078
8352 4503,848 101,38078
8353 4504,389 101,38078
8354 4504,925 101,38078
8355 4505,458 101,09602
8356 4505,993 101,09603
8357 4506,544 101,09604
8358 4507,090 101,09604
8359 4507,627 101,09604
8360 4508,158 101,09604
8361 4508,688 101,09604
8362 4509,225 101,09605
8363 4509,767 101,09606
8364 4510,298 101,09607
8365 4510,832 101,09607
8366 4511,361 101,09607
8367 4511,892 101,09605
8368 4512,423 101,09606
8369 4512,958 101,09606
8370 4513,484 101,09608
8371 4514,016 101,09608
8372 4514,547 101,09606
8373 4515,093 101,09608
8374 4515,638 101,09607
8375 4516,171 101,09608
8376 4516,705 101,09018
8377 4517,238 101,08958
8378 4517,769 101,08885
8379 4518,306 100,81682
8380 4518,848 100,81637
8381 4519,374 100,81591
8382 4519,909 100,81564
8383 4520,442 100,81541
8384 4520,971 100,81517
8385 4521,510 100,81297
8386 4522,057 100,81295
8387 4522,606 100,81295
8388 4523,144 100,81295
8389 4523,679 100,81294
8390 4524,231 100,81294
8391 4524,777 100,81294
8392 4525,314 100,81294
8393 4525,845 100,81294
8394 4526,382 100,81294
8395 4526,931 100,81294
8396 4527,476 100,81295
8397 4528,018 100,81293
8398 4528,551 100,81294
8399 4529,085 100,81294
8400 4529,631 100,80724
8401 4530,174 100,80647
8402 4530,704 100,80576
8403 4531,235 100,80486
8404 4531,771 100,53481
8405 4532,306 100,53445
8406 4532,849 100,53417
8407 4533,391 100,53387
8408 4533,925 100,53368
8409 4534,454 100,53352
8410 4534,993 100,53143
8411 4535,533 100,53143
8412 4536,067 100,53143
8413 4536,594 100,53143
8414 4537,125 100,53143
8415 4537,659 100,53142
8416 4538,195 100,53143
8417 4538,737 100,53143
8418 4539,266 100,53143
8419 4539,798 100,53143
8420 4540,331 100,53143
8421 4540,865 100,53143
8422 4541,392 100,53144
8423 4541,929 100,53144
8424 4542,468 100,53143
8425 4543,001 100,53143
8426 4543,535 100,53144
8427 4544,069 100,53145
8428 4544,614 100,25153
8429 4545,145 100,25153
8430 4545,671 100,25152
8431 4546,204 100,25152
8432 4546,734 100,25151
8433 4547,273 100,25151
8434 4547,819 100,25150
8435 4548,364 100,25148
8436 4548,900 100,25147
8437 4549,441 100,25146
8438 4549,975 100,25146
8439 4550,531 100,25146
8440 4551,071 100,25146
8441 4551,611 100,25146
8442 4552,146 100,25146
8443 4552,675 100,25146
8444 4553,208 100,25147
8445 4553,746 100,25147
8446 4554,281 100,25064
8447 4554,814 100,25060
8448 4555,343 100,25051
8449 4555,876 100,25039
8450 4556,417 100,25027
8451 4556,964 100,25007
8452 4557,509 99,98316
8453 4558,051 99,98203
8454 4558,584 99,97305
8455 4559,116 99,97305
8456 4559,661 99,97305
8457 4560,187 99,97305
8458 4560,721 99,97305
8459 4561,256 99,97305
8460 4561,804 99,97305
8461 4562,352 99,97305
8462 4562,891 99,97305
8463 4563,425 99,97305
8464 4563,958 99,97305
8465 4564,489 99,97305
8466 4565,020 99,97305
8467 4565,559 99,97307
8468 4566,094 99,97307
8469 4566,629 99,97308
8470 4567,163 99,97307
8471 4567,706 99,97307
8472 4568,246 99,97308
8473 4568,782 99,97309
8474 4569,323 99,97309
8475 4569,865 99,97310
8476 4570,420 99,69620
8477 4570,955 99,69621
8478 4571,491 99,69621
8479 4572,034 99,69621
8480 4572,568 99,69621
8481 4573,101 99,69621
8482 4573,647 99,69621
8483 4574,188 99,69621
8484 4574,723 99,69620
8485 4575,261 99,69620
8486 4575,804 99,69620
8487 4576,352 99,69620
8488 4576,897 99,69620
8489 4577,441 99,69620
8490 4577,975 99,69620
8491 4578,499 99,69620
8492 4579,038 99,69620
8493 4579,587 99,69620
8494 4580,133 99,69620
8495 4580,678 99,69619
8496 4581,228 99,69620
8497 4581,768 99,69619
8498 4582,301 99,69620
8499 4582,828 99,69621
8500 4583,368 99,69621
8501 4583,914 99,42083
8502 4584,463 99,42082
8503 4585,003 99,42082
8504 4585,532 99,42083
8505 4586,073 99,42083
8506 4586,609 99,42083
8507 4587,147 99,42083
8508 4587,696 99,42084
8509 4588,242 99,42084
8510 4588,785 99,42085
8511 4589,317 99,42085
8512 4589,848 99,42085
8513 4590,377 99,42085
8514 4590,918 99,42088
8515 4591,453 99,42089
8516 4591,990 99,42090
8517 4592,544 99,42090
8518 4593,090 99,42088
8519 4593,626 99,42089
8520 4594,159 99,42088
8521 4594,694 99,42087
8522 4595,247 99,42085
8523 4595,793 99,42087
8524 4596,329 99,42088
8525 4596,863 99,14705
8526 4597,397 99,14705
8527 4597,944 99,14705
8528 4598,489 99,14705
8529 4599,020 99,14706
8530 4599,548 99,14706
8531 4600,078 99,14707
8532 4600,621 99,14706
8533 4601,161 99,14706
8534 4601,702 99,14706
8535 4602,234 99,14705
8536 4602,771 99,14705
8537 4603,303 99,14705
8538 4603,857 99,14705
8539 4604,395 99,14705
8540 4604,933 99,14703
8541 4605,469 99,14703
8542 4606,007 99,14703
8543 4606,549 99,14452
8544 4607,087 99,14432
8545 4607,633 99,14400
8546 4608,175 99,14372
8547 4608,710 99,14336
8548 4609,264 99,14276
8549 4609,800 98,88149
8550 4610,340 98,88077
8551 4610,874 98,88001
8552 4611,413 98,87956
8553 4611,965 98,87472
8554 4612,501 98,87472
8555 4613,043 98,87472
8556 4613,577 98,87473
8557 4614,116 98,87473
8558 4614,671 98,87474
8559 4615,213 98,87473
8560 4615,751 98,87474
8561 4616,281 98,87474
8562 4616,818 98,87474
8563 4617,373 98,87475
8564 4617,916 98,87475
8565 4618,455 98,87475
8566 4618,988 98,87474
8567 4619,522 98,87473
8568 4620,069 98,87473
8569 4620,621 98,87473
8570 4621,157 98,87473
8571 4621,688 98,87473
8572 4622,225 98,87472
8573 4622,775 98,60390
8574 4623,320 98,60390
8575 4623,861 98,60390
8576 4624,393 98,60390
8577 4624,927 98,60390
8578 4625,474 98,60389
8579 4626,018 98,60390
8580 4626,553 98,60394
8581 4627,098 98,60393
8582 4627,630 98,60390
8583 4628,161 98,60388
8584 4628,692 98,60390
8585 4629,232 98,60393
8586 4629,766 98,60393
8587 4630,299 98,60391
8588 4630,835 98,60391
8589 4631,385 98,60391
8590 4631,935 98,60390
8591 4632,470 98,60391
8592 4633,004 98,60391
8593 4633,534 98,60393
8594 4634,069 98,60391
8595 4634,624 98,60390
8596 4635,170 98,60390
8597 4635,709 98,33455
8598 4636,262 98,33455
8599 4636,809 98,33456
8600 4637,343 98,33456
8601 4637,876 98,33457
8602 4638,409 98,33457
8603 4638,945 98,33457
8604 4639,491 98,33458
8605 4640,037 98,33458
8606 4640,566 98,33458
8607 4641,102 98,33458
8608 4641,647 98,33459
8609 4642,199 98,33459
8610 4642,739 98,33459
8611 4643,275 98,33459
8612 4643,817 98,33459
8613 4644,350 98,33459
8614 4644,891 98,33459
8615 4645,433 98,33459
8616 4645,979 98,33458
8617 4646,519 98,33459
8618 4647,054 98,33459
8619 4647,606 98,33459
8620 4648,152 98,33459
8621 4648,689 98,06668
8622 4649,218 98,06667
8623 4649,752 98,06667
8624 4650,290 98,06667
8625 4650,834 98,06668
8626 4651,380 98,06668
8627 4651,917 98,06669
8628 4652,457 98,06669
8629 4652,992 98,06667
8630 4653,543 98,06667
8631 4654,087 98,06667
8632 4654,628 98,06667
8633 4655,163 98,06666
8634 4655,711 98,06667
8635 4656,251 98,06667
8636 4656,795 98,06667
8637 4657,331 98,06667
8638 4657,859 98,06667
8639 4658,399 98,06667
8640 4658,937 98,06667
8641 4659,472 98,06667
8642 4660,002 98,06667
8643 4660,535 98,06666
8644 4661,070 98,06667
8645 4661,623 97,80028
8646 4662,169 97,80028
8647 4662,705 97,80029
8648 4663,238 97,80029
8649 4663,773 97,80028
8650 4664,315 97,80029
8651 4664,851 97,80028
8652 4665,394 97,80029
8653 4665,924 97,80029
8654 4666,458 97,80029
8655 4666,988 97,80029
8656 4667,516 97,80029
8657 4668,060 97,80028
8658 4668,595 97,80029
8659 4669,140 97,80027
8660 4669,674 97,80025
8661 4670,210 97,80024
8662 4670,757 97,80023
8663 4671,301 97,80024
8664 4671,831 97,80025
8665 4672,365 97,79620
8666 4672,911 97,79572
8667 4673,441 97,79527
8668 4673,974 97,79472
8669 4674,519 97,54033
8670 4675,053 97,53976
8671 4675,595 97,53930
8672 4676,136 97,53893
8673 4676,671 97,53852
8674 4677,215 97,53828
8675 4677,751 97,53531
8676 4678,291 97,53531
8677 4678,833 97,53532
8678 4679,369 97,53531
8679 4679,915 97,53532
8680 4680,457 97,53532
8681 4680,991 97,53532
8682 4681,544 97,53531
8683 4682,088 97,53532
8684 4682,627 97,53530
8685 4683,159 97,53531
8686 4683,689 97,53529
8687 4684,227 97,53529
8688 4684,780 97,53529
8689 4685,317 97,53528
8690 4685,848 97,53527
8691 4686,382 97,53526
8692 4686,926 97,53524
8693 4687,456 97,53525
8694 4687,987 97,27173
8695 4688,517 97,27172
8696 4689,049 97,27173
8697 4689,579 97,27173
8698 4690,109 97,27174
8699 4690,644 97,27174
8700 4691,171 97,27174
8701 4691,702 97,27174
8702 4692,238 97,27176
8703 4692,772 97,27174
8704 4693,315 97,27174
8705 4693,850 97,27174
8706 4694,399 97,27174
8707 4694,941 97,27174
8708 4695,475 97,27176
8709 4696,029 97,27176
8710 4696,568 97,27177
8711 4697,111 97,27177
8712 4697,645 97,27178
8713 4698,175 97,27178
8714 4698,712 97,27180
8715 4699,264 97,27180
